customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0002-ORFBO,2021-03-15,Refferal,2025-03-15,Standard,Annual,,,13.99,627.0,12,0,Keshav,India,Maharashtra,Male,1982-04-12,,,,
0003-MKNFE,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched To Competitor,12.99,1150.0,91,1,Raghav,India,Karnataka,Male,1995-11-23,2024-08-28,Y,10.0,2.0
0004-TLHLJ,2022-11-20,Organic,2025-11-20,Basic,Monthly,,,6.99,210.0,34,0,Lalita,India,Delhi,Female,1978-02-15,,,,
0011-IGKFF,2019-05-10,Paid,2025-05-10,Premium,Annual,,,22.99,1725.0,8,0,Mohan,India,Nagaland,Male,2001-08-30,,,,
0013-EXCHZ,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too Expensive,13.99,195.0,88,1,Mira,India,Delhi,Female,1990-05-05,2024-01-20,Y,20.0,1.0
0013-MHZWF,2022-06-18,Paid,2025-06-18,Standard,Annual,,,17.99,720.0,22,0,Durga,India,Delhi,Female,1988-12-10,2025-03-18,N,90.0,1.0
0013-SMEOE,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not Enough Content,8.99,230.0,79,1,Mina,India,Meghalaya,Female,1976-09-21,2024-11-01,N,30.0,1.0
0014-BMAQU,2020-02-14,Organic,2025-02-14,Premium,Annual,,,22.99,1840.0,5,0,Madan,India,Rajasthan,Male,1999-03-14,,,,
0015-UOCOJ,2023-07-22,Organic,2024-07-22,Standard,Monthly,,,13.99,240.0,34,0,Maya,Nepal,Kathmandu,Female,1985-07-07,,,,
0016-QLJIS,2022-04-03,Organic,2025-04-03,Basic,Annual,,,6.99,335.0,41,0,Arjun,Nepal,Kathmandu,Male,1993-10-29,,,,
0017-DINOC,2021-12-01,Organic,2025-12-01,Premium,Annual,,,22.99,1610.0,14,0,Shiva,India,Maharashtra,Male,1997-01-22,,,,
0017-IUDMW,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor Streaming Quality,7.99,270.0,83,1,Rangadevi,India,Karnataka,Female,1981-06-18,2024-04-10,Y,25.0,1.0
0018-NYROU,2020-10-09,Organic,2025-10-09,Standard,Annual,,,13.99,980.0,19,0,Chitra,India,Telangana,Female,2004-12-01,,,,
0019-EFAEP,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched To Competitor,12.99,160.0,76,1,Raju,India,Meghalaya,Female,1992-04-25,2024-09-27,Y,30.0,1.0
0019-GFNTW,2019-11-11,Paid,2025-11-11,Premium,Annual,,,92.99,2185.0,3,0,Madhav,India,Uttar Pradesh,Male,1979-11-11,,,,
0020-INWCK,2023-05-06,Organic,2025-05-06,Standard,Monthly,,,13.99,640.0,58,0,Parvati,India,Delhi,Female,1986-02-28,,,,
0020-JDNXP,2022-01-19,Organic,2024-01-19,Premium,Annual,,,20.99,550.0,62,0,Rikim,India,Meghalaya,Female,1994-08-19,,,,
0021-IKXGC,2021-07-07,Paid,2025-07-07,Standard,Annual,,,13.99,840.0,27,0,Vishakha,India,Rajasthan,Female,2000-09-02,,,,
0022-TCJCI,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot To Cancel Trial,16.99,42.0,99,1,Raghvendra,India,Telangana,Male,1983-12-30,2024-09-14,N,90.0,2.0
0023-HGHWL,2020-06-23,Organic,2025-06-23,Premium,Annual,,,22.99,1955.0,7,0,Rishabh,India,Uttar Pradesh,Male,1991-05-14,,,,
0023-UYUPN,2022-12-31,Paid,2025-12-31,Standard,Monthly,,,13.99,790.0,47,0,Sudevi,India,Maharashtra,Female,1977-10-06,,,,
0914-URLLW,2021-07-02,Paid,2022-07-02,Standard,Annual,,,12.2,632.0,89,0,Rahul,India,Gujarat,Female,2005-11-17,2023-07-25,N,32.0,1.0
0881-SFCNZ,2022-12-13,Organic,2023-12-13,Premium,Annual,2025-02-25,Poor Support,23.96,1248.0,11,1,Vikram,India,West Bengal,Male,1970-05-14,2024-11-06,N,88.0,2.0
7363-TSUND,2024-12-01,Organic,2024-12-31,Premium,Monthly,,,26.06,1813.0,75,0,Nisha,India,Kerala,Female,1998-08-02,2023-09-17,N,80.0,3.0
8400-LNJEY,2023-01-10,Organic,2023-02-09,Premium,Monthly,,,25.13,1963.0,82,0,Arjun,India,Karnataka,Female,2006-07-16,2026-02-17,Y,95.0,3.0
7820-QKVOL,2022-01-04,Organic,2022-02-03,Premium,Monthly,2024-10-30,Poor Support,22.4,1526.0,68,1,Vikram,India,Nagaland,Female,1996-09-20,2025-12-02,N,49.0,2.0
4517-FCOXB,2021-04-12,Organic,2021-05-12,Basic,Monthly,,,9.07,626.0,2,0,Karan,India,Telangana,Male,1982-06-16,2026-05-26,N,44.0,2.0
8585-VHQET,2021-02-13,Organic,2021-03-15,Basic,Monthly,2026-07-19,Poor Support,9.43,373.0,37,1,Aarav,India,Kerala,Female,1999-09-08,2023-05-31,N,19.0,1.0
7011-JBZLX,2026-08-11,Paid,2027-08-11,Standard,Annual,,,9.08,647.0,44,0,Priya,India,Punjab,Male,1970-12-15,2025-04-09,Y,10.0,2.0
6786-UTFJM,2023-09-10,Paid,2023-10-10,Standard,Monthly,,,15.76,667.0,85,0,Vivaan,Nepal,Kathmandu,Female,1986-05-11,,,,
4989-BOETR,2025-01-19,Referral,2026-01-19,Premium,Annual,,,22.7,2008.0,60,0,Ananya,India,Uttar Pradesh,Male,2006-12-27,2026-04-24,N,77.0,2.0
9226-TJZKI,2022-04-25,Paid,2023-04-25,Standard,Annual,,,16.81,787.0,63,0,Amit,India,Punjab,Male,1974-07-22,2024-12-22,N,70.0,2.0
9056-JBMUE,2023-01-23,Organic,2023-02-22,Standard,Monthly,2023-07-05,Switched To Competitor,16.59,1102.0,39,1,Vivaan,India,Maharashtra,Male,1982-08-19,2025-04-19,N,18.0,2.0
